property	pre	post	verdict
identity.id	mii-ig-bildgebung	mii-ig-bildgebung	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung	https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.bildgebung	de.medizininformatikinitiative.kerndatensatz.bildgebung	unchanged
identity.name	MII_IG_Bildgebung	MII_IG_Bildgebung	unchanged
identity.version	2027.0.0-ballot	2027.0.0-ballot	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	-	CC-BY-4.0	not-measurable
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	Medizininformatik Initiative	unchanged
identity.status	active	active	unchanged
identity.title	-	MII IG Kerndatensatz-Modul Bildgebung	not-measurable
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	true	REGRESSION
mode	static	static	unchanged
artifacts.profiles	12	12	unchanged
artifacts.extensions	14	14	unchanged
artifacts.valuesets	21	21	unchanged
artifacts.codesystems	5	5	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	18	19	expected-change
artifacts.rulesets	24	55	expected-change
artifacts.invariants	0	0	unchanged
artifacts.mappings	2	2	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	72	73	expected-change
narrative.pages	118	136	expected-change
narrative.intro_note_pages	0	26	expected-change
narrative.translation_pages	0	18	expected-change
directives.total	1426	1426	unchanged
